model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
b1_ets+dtaci,2023,3,0.9472389894925106,0.5750055890900961,4473,10,assessable,True,False,all
b1_ets+dtaci,2023,4,0.9295669487307118,0.5281234444997511,4018,9,assessable,True,True,all
b1_ets+dtaci,2023,5,0.8945892907204934,0.5074292122231567,3567,8,assessable,True,True,all
b1_ets+dtaci,2023,6,0.8645699614890886,0.47946084724005134,3116,7,assessable,True,False,all
b1_ets+pooled,2018,1,0.928902269569245,0.5817508105604446,4318,9,assessable,True,True,all
b1_ets+pooled,2018,2,0.9196656605525888,0.552820989087532,4307,9,assessable,True,True,all
b1_ets+pooled,2018,3,0.9310344827586207,0.570596458527493,4292,9,assessable,True,False,all
b1_ets+pooled,2018,4,0.9177377892030848,0.522318298667913,4279,9,assessable,True,True,all
b1_ets+pooled,2018,5,0.8876905041031653,0.48440797186400936,4265,9,assessable,True,True,all
b1_ets+pooled,2018,6,0.8938468764678252,0.5028182245185533,4258,9,assessable,True,True,all
b1_ets+pooled,2019,1,0.9083362769339456,0.5028258565877781,5662,12,assessable,True,True,all
b1_ets+pooled,2019,2,0.9185592618878637,0.531582682753726,5636,12,assessable,True,True,all
b1_ets+pooled,2019,3,0.9142449634515957,0.5353895525049028,5609,12,assessable,True,True,all
b1_ets+pooled,2019,4,0.9249853487009182,0.5676890017581558,5119,11,assessable,True,True,all
b1_ets+pooled,2019,5,0.9271237602414834,0.5756791720569211,4638,10,assessable,True,True,all
b1_ets+pooled,2019,6,0.9185487746275829,0.5756847669389716,4162,9,assessable,True,True,all
b1_ets+pooled,2020,1,0.8925886143931256,0.5166487647690655,931,2,assessable,False,True,all
b1_ets+pooled,2020,2,0.9073275862068966,0.48060344827586204,464,1,assessable,False,True,all
b1_ets+pooled,2021,1,0.9725621060437524,0.6303299962921765,2697,6,assessable,True,False,all
b1_ets+pooled,2021,2,0.9802754000744325,0.7212504652028284,2687,6,assessable,True,False,all
b1_ets+pooled,2021,3,0.9828486204325131,0.8392990305741984,2682,6,assessable,True,False,all
b1_ets+pooled,2021,4,0.9813432835820896,0.8753731343283582,2680,6,assessable,True,False,all
b1_ets+pooled,2021,5,0.9824299065420561,0.8762616822429906,2675,6,assessable,True,False,all
b1_ets+pooled,2021,6,0.9775112443778111,0.8650674662668666,2668,6,assessable,True,False,all
b1_ets+pooled,2022,1,0.9311883950158081,0.5484470894550865,5377,12,assessable,True,False,all
b1_ets+pooled,2022,2,0.9325382035035408,0.523667536339918,5366,12,assessable,True,False,all
b1_ets+pooled,2022,3,0.9338812103100486,0.48412401942472916,5354,12,assessable,True,False,all
b1_ets+pooled,2022,4,0.9468562874251497,0.5666167664670658,5344,12,assessable,True,False,all
b1_ets+pooled,2022,5,0.9512652296157451,0.6266166822867854,5335,12,assessable,True,False,all
b1_ets+pooled,2022,6,0.9590840840840841,0.6768018018018018,5328,12,assessable,True,False,all
b1_ets+pooled,2023,1,0.9227483751160631,0.5743732590529248,5385,12,assessable,True,True,all
b1_ets+pooled,2023,2,0.9429904645972814,0.6009332521809698,4929,11,assessable,True,False,all
b1_ets+pooled,2023,3,0.9537223340040242,0.598479767493852,4473,10,assessable,True,False,all
b1_ets+pooled,2023,4,0.9474863115978098,0.5699352911896466,4018,9,assessable,True,False,all
b1_ets+pooled,2023,5,0.9271096159237454,0.5747126436781609,3567,8,assessable,True,True,all
b1_ets+pooled,2023,6,0.9175224646983312,0.5818356867779204,3116,7,assessable,True,True,all
b1_ets+series,2018,1,0.9316813339509032,0.6060676238999537,4318,9,assessable,True,False,all
b1_ets+series,2018,2,0.9203622010680288,0.5871836545159044,4307,9,assessable,True,True,all
b1_ets+series,2018,3,0.9305684995340168,0.5934296365330848,4292,9,assessable,True,False,all
b1_ets+series,2018,4,0.9182051881280673,0.5491937368544052,4279,9,assessable,True,True,all
b1_ets+series,2018,5,0.8879249706916764,0.5036342321219226,4265,9,assessable,True,True,all
b1_ets+series,2018,6,0.8938468764678252,0.5234852043212775,4258,9,assessable,True,True,all
b1_ets+series,2019,1,0.9201695513952667,0.531261038502296,5662,12,assessable,True,True,all
b1_ets+series,2019,2,0.92902767920511,0.5601490418736693,5636,12,assessable,True,True,all
b1_ets+series,2019,3,0.9176323765377072,0.5646282759850241,5609,12,assessable,True,True,all
b1_ets+series,2019,4,0.9224457901933971,0.5899589763625708,5119,11,assessable,True,True,all
b1_ets+series,2019,5,0.9213022854678741,0.6045709357481673,4638,10,assessable,True,True,all
b1_ets+series,2019,6,0.9070158577606919,0.5989908697741471,4162,9,assessable,True,True,all
b1_ets+series,2020,1,0.9044038668098818,0.5413533834586466,931,2,assessable,False,True,all
b1_ets+series,2020,2,0.9202586206896551,0.5301724137931034,464,1,assessable,False,True,all
b1_ets+series,2021,1,0.982202447163515,0.6529477196885428,2697,6,assessable,True,False,all
b1_ets+series,2021,2,0.9862299962783774,0.7201339784145888,2687,6,assessable,True,False,all
b1_ets+series,2021,3,0.9891871737509321,0.813944817300522,2682,6,assessable,True,False,all
b1_ets+series,2021,4,0.9847014925373134,0.8373134328358209,2680,6,assessable,True,False,all
b1_ets+series,2021,5,0.9854205607476636,0.8471028037383178,2675,6,assessable,True,False,all
b1_ets+series,2021,6,0.9801349325337332,0.8403298350824587,2668,6,assessable,True,False,all
b1_ets+series,2022,1,0.9767528361539892,0.635856425516087,5377,12,assessable,True,False,all
