origin,attempt,shift,fit_seed,pred_seed,seconds,rhat_max,ess_bulk_min,ess_tail_min,divergences,worst_rhat_param,failed,error
2024-01-01,0,0,202401,1,120.0,1.0485371756717037,58.11092708737797,121.22486238687227,0,kappa_adm,False,
2024-02-01,0,0,202402,2,118.2,1.044723394526767,71.59979305810336,102.78458867948324,0,f_adm[0],False,
2024-03-01,0,0,202403,3,198.1,1.0432563063305862,80.92852849420402,110.25159648844308,0,kappa_adm,False,
2024-04-01,0,0,202404,4,143.4,1.1215901714674317,25.884366201352172,23.6308738770993,0,kappa_adm,False,
2024-05-01,0,0,202405,5,145.8,1.0396974358860818,82.66049268245943,79.02280980172868,0,f_type1[1],False,
2024-06-01,0,0,202406,6,218.8,1.051878030560116,85.03765825605423,47.82818147291667,0,kappa_adm,False,
2024-07-01,0,0,202407,7,154.3,1.031520966660556,131.28709736764245,160.77905745098,0,f_adm[0],False,
2024-08-01,0,0,202408,8,147.7,1.0643867297750644,75.21955734874606,153.41921231299534,0,kappa_adm,False,
2024-09-01,0,0,202409,9,163.8,1.0467978051598783,102.75333430504202,145.83785982041633,0,kappa_adm,False,
2024-10-01,0,0,202410,10,158.0,1.0517435437490714,69.28173301229907,180.12162493672147,0,f_adm[0],False,
2024-11-01,0,0,202411,11,201.0,1.0225753806775804,100.6237631436482,168.5697370404065,0,f_adm[0],False,
2024-12-01,0,0,202412,12,111.3,1.098677100486432,44.16745615867995,163.0052890015385,0,kappa_adm,False,
2025-01-01,0,0,202501,1,187.7,1.03921667900137,102.30721978091336,150.3266863793876,0,f_all[1],False,
2025-02-01,0,0,202502,2,206.1,1.0214639952886224,92.578090959642,146.50850176291829,0,f_adm[1],False,
2025-03-01,0,0,202503,3,163.7,1.0690279310821609,54.114792319995104,60.750134114057055,0,kappa_adm,False,
2025-04-01,0,0,202504,4,149.2,1.0456791569284671,58.07211630543186,78.40315609086363,0,kappa_adm,False,
2025-05-01,0,0,202505,5,235.9,1.030938042811855,99.02393209794477,110.925865053981,0,f_adm[0],False,
2025-06-01,0,0,202506,6,199.8,1.03270143508674,130.0846072869481,208.4892103085693,0,f_adm[1],False,
2025-07-01,0,0,202507,7,150.6,1.0514110028641048,85.33415270976147,129.75864931363324,0,f_adm[1],False,
2025-08-01,0,0,202508,8,162.3,1.0563428323345192,76.46146401603819,123.47050970506612,0,kappa_adm,False,
2025-09-01,0,0,202509,9,198.9,1.07985649232849,39.875673571941626,121.32498371509082,0,kappa_adm,False,
