org_code,org_name,icb_code,icb_name,region,method,evidence,source
NQTE4,Summerfield Urgent Care Centre,QUA,NHS Black Country Integrated Care Board,MIDLANDS,earlier_mapping,ICB QUA in 2026-04/System-Mapping.xls,2026-04/System-Mapping.xls
NR5,LIVEWELL SOUTHWEST,QJK,NHS Devon Integrated Care Board,SOUTH WEST,legacy_stp,STP Devon,2026-08/Acute-Trust-Attribution-File.xls
NTPAL,GREET GENERAL PRACTICE & URGENT CARE CENTRE,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,legacy_stp,STP Birmingham and Solihull,2026-08/Acute-Trust-Attribution-File.xls
NTV1M,WEYBRIDGE WALK IN CENTRE,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Surrey Heartlands,2026-08/Acute-Trust-Attribution-File.xls
NX122,EDRIDGE ROAD COMMUNITY HEALTH CENTRE,QWE,NHS South West London Integrated Care Board,LONDON,legacy_stp,STP South West London,2026-08/Acute-Trust-Attribution-File.xls
R1C,SOLENT NHS TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,SOUTH EAST,ods_successor,ODS successor RW1,ods_records.json
R1G,TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST,QJK,NHS Devon Integrated Care Board,SOUTH WEST,ods_successor,ODS successor RA9,ods_records.json
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,QR1,NHS Gloucestershire Integrated Care Board,SOUTH WEST,ods_successor,ODS successor RTQ,ods_records.json
RA3,WESTON AREA HEALTH NHS TRUST,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",SOUTH WEST,ods_successor,ODS successor RA7,ods_records.json
RA4,Yeovil District Hospital NHS Foundation Trust,QSL,NHS Somerset Integrated Care Board,SOUTH WEST,ods_successor,ODS successor RH5,ods_records.json
RAP,North Middlesex University Hospital NHS Trust,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,ods_successor,ODS successor RAL,ods_records.json
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,QSL,NHS Somerset Integrated Care Board,SOUTH WEST,ods_successor,ODS successor RH5,ods_records.json
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,QJK,NHS Devon Integrated Care Board,SOUTH WEST,ods_successor,ODS successor RH8,ods_records.json
RC1,BEDFORD HOSPITAL NHS TRUST,S1Y5D,NHS Central East Integrated Care Board,EAST OF ENGLAND,ods_successor,ODS successor RC9,ods_records.json
RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,QVV,NHS Dorset Integrated Care Board,SOUTH WEST,ods_successor,ODS successor R0D,ods_records.json
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,D7T5G,NHS Essex Integrated Care Board,EAST OF ENGLAND,ods_successor,ODS successor RAJ,ods_records.json
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,QVV,NHS Dorset Integrated Care Board,SOUTH WEST,ods_successor,ODS successor R0D,ods_records.json
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,NORTH EAST AND YORKSHIRE,ods_successor,ODS successor R0B,ods_records.json
RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,ods_successor,ODS successor RQM,ods_records.json
RGQ,IPSWICH HOSPITAL NHS TRUST,T6Y0W,NHS Norfolk and Suffolk Integrated Care Board,EAST OF ENGLAND,ods_successor,ODS successor RDE,ods_records.json
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,QJ2,NHS Derby And Derbyshire Integrated Care Board,MIDLANDS,ods_successor,ODS successor RTG,ods_records.json
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,NORTH EAST AND YORKSHIRE,ods_successor,ODS successor R0B,ods_records.json
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,ods_successor,ODS successor RQ3,ods_records.json
