split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,1,0.969785575048733,0.930787037037037,0.9926900584795322,0.9619883040935673,0.9775828460038987,-0.003334795321637385,2052,36,19,0,0,False
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,2,0.9926900584795322,0.982943469785575,0.9980506822612085,0.9878167641325536,0.996588693957115,-0.00060185185185202,2052,36,19,0,0,False
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,3,0.9887914230019493,0.9756335282651072,0.9970760233918129,0.9805068226120858,0.9951267056530214,-0.00048050682261213673,2052,36,19,0,0,False
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,4,0.9922027290448343,0.9790326510721247,0.9990253411306043,0.9843932748538011,0.9980506822612085,-0.0008689083820663246,2052,36,19,0,0,False
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,5,0.9902534113060428,0.9761208576998051,0.9985380116959064,0.9824561403508771,0.9961013645224172,-0.000433723196881175,2052,36,19,0,0,False
conf,CONF19,19,m2d_corr,icb,asof,cov90,all,as_issued,6,0.9922027290448343,0.9805068226120858,0.9990253411306043,0.9839181286549707,0.9980506822612085,-0.00027485380116964997,2052,36,19,0,0,False
