key,target,rel,rel_lo,rel_hi,differs,item,holds,verdict,dropped
b0,att_all,-0.00027666524150493643,-0.0006338366456638932,-1.4165878808454661e-05,False,clause,,,2024-01-01
b0,att_type1,4.277202358515808e-06,0.0,1.455307704594721e-05,False,clause,,,2024-01-01
b0,adm_via_ae,-0.00016306636976137767,-0.0005463291358509681,0.0,False,clause,,,2024-01-01
b1,att_all,-0.00042255745977259895,-0.0011445437014784708,4.7672084818213136e-05,False,clause,,,2024-01-01
b1,att_type1,4.049883502266205e-05,0.0,0.00013490639461534427,False,clause,,,2024-01-01
b1,adm_via_ae,-0.0005563830531380987,-0.001844110865387314,0.0,False,clause,,,2024-01-01
b2,att_all,0.0007515678995386743,-1.602162212964589e-05,0.0020656255786759455,False,clause,,,2024-01-01
b2,att_type1,7.44646522232717e-05,0.0,0.0002542480677208863,False,clause,,,2024-01-01
b2,adm_via_ae,-0.0003775522003836018,-0.0012782246357388564,0.0,False,clause,,,2024-01-01
m1,att_all,-0.0007485512435491115,-0.0017437184762943746,-0.00018515788805481767,False,clause,,,2024-01-01
m1,att_type1,3.452614987908831e-06,-5.7939347441292136e-05,3.598160497101089e-05,False,clause,,,2024-01-01
m1,adm_via_ae,-0.000142944254632571,-0.0005457961933336862,3.724075977958407e-05,False,clause,,,2024-01-01
m1_v3_raw,att_all,-0.0011237713298707375,-0.012700496291460807,0.010148940824486417,False,clause,,,2024-01-01
m1_v3_raw,att_type1,0.009156258249575888,-0.001884464104655098,0.02154496697695305,False,clause,,,2024-01-01
m1_v3_raw,adm_via_ae,-0.003157864551647238,-0.020974948966500075,0.013894626646848684,False,clause,,,2024-01-01
,att_all,,,,,ranking,True,,2024-01-01
,att_type1,,,,,ranking,True,,2024-01-01
,adm_via_ae,,,,,ranking,True,,2024-01-01
,,,,,,verdict,,confirmed,2024-01-01
b0,att_all,-0.00010919906225803633,-0.0003037026176340467,-5.5575244637021675e-06,False,clause,,,2024-10-01
b0,att_type1,-4.787379066506503e-06,-2.739925223114523e-05,1.0915938630587053e-05,False,clause,,,2024-10-01
b0,adm_via_ae,-0.0018788869949227793,-0.005898340724196298,3.241197905517414e-06,False,clause,,,2024-10-01
b1,att_all,-0.00041383289121599276,-0.0011499182055610014,4.050614573688294e-05,False,clause,,,2024-10-01
b1,att_type1,3.8495969393537166e-05,-1.0642934317912608e-05,0.00013659691771388473,False,clause,,,2024-10-01
b1,adm_via_ae,-0.0031412436246495146,-0.009948375503777106,3.5110410390695836e-06,False,clause,,,2024-10-01
b2,att_all,0.00043650098587288966,-0.00046828674123074957,0.0016776033106326311,False,clause,,,2024-10-01
b2,att_type1,0.0001791189607345256,0.0,0.00047595161980224177,False,clause,,,2024-10-01
b2,adm_via_ae,-0.0035378235170020478,-0.011427957043286719,2.211495000726136e-05,False,clause,,,2024-10-01
m1,att_all,-0.00022196588482570334,-0.0004420088600653381,-7.755562374914997e-05,False,clause,,,2024-10-01
m1,att_type1,5.31328436057521e-05,-1.2056652744318325e-05,0.000103792473138962,False,clause,,,2024-10-01
m1,adm_via_ae,-0.004426474543145709,-0.010433214587480802,0.004233512889842426,False,clause,,,2024-10-01
m1_v3_raw,att_all,0.004923044529133724,-0.004021543035740034,0.014685500037341337,False,clause,,,2024-10-01
m1_v3_raw,att_type1,0.0004730792745477608,-0.010261957978791706,0.013944294484694043,False,clause,,,2024-10-01
m1_v3_raw,adm_via_ae,-0.011704862408767225,-0.03522756201017202,0.009615090051641646,False,clause,,,2024-10-01
,att_all,,,,,ranking,True,,2024-10-01
,att_type1,,,,,ranking,True,,2024-10-01
,adm_via_ae,,,,,ranking,True,,2024-10-01
,,,,,,verdict,,confirmed,2024-10-01
b0,att_all,-0.0002400016735153443,-0.0005376821031648375,-1.383090235003468e-05,False,clause,,,2024-11-01
b0,att_type1,-3.831215268701449e-06,-2.7228328012312662e-05,1.4073174979432394e-05,False,clause,,,2024-11-01
b0,adm_via_ae,-0.0018725558465292336,-0.005817406075904346,3.232918791547902e-06,False,clause,,,2024-11-01
b1,att_all,-8.624277899715871e-05,-0.0004327155746865385,0.00010985111811772315,False,clause,,,2024-11-01
b1,att_type1,8.122660842646567e-05,-1.0046684526812963e-05,0.00026804335122678977,False,clause,,,2024-11-01
b1,adm_via_ae,-0.0030783812087658013,-0.00963907211726797,3.4257980582392057e-06,False,clause,,,2024-11-01
b2,att_all,9.929464761193607e-05,-0.0005798714185648809,0.0008734762328256231,False,clause,,,2024-11-01
b2,att_type1,0.00012101990230140025,0.0,0.000392059998611109,False,clause,,,2024-11-01
b2,adm_via_ae,-0.0035177847527616546,-0.011653674146391886,2.216741128993791e-05,False,clause,,,2024-11-01
m1,att_all,-0.0012181437473145484,-0.0028103193810051223,-0.00023792982753352503,False,clause,,,2024-11-01
m1,att_type1,6.474069815265437e-05,1.542826818799937e-05,0.00011000782724847719,False,clause,,,2024-11-01
m1,adm_via_ae,-0.004441423900101937,-0.010412951146122411,0.004305185154455586,False,clause,,,2024-11-01
m1_v3_raw,att_all,0.0009732934806319093,-0.008380083809310988,0.010727935537655494,False,clause,,,2024-11-01
m1_v3_raw,att_type1,-0.00024222351194125302,-0.012620328141710076,0.014509266361783046,False,clause,,,2024-11-01
m1_v3_raw,adm_via_ae,-0.013442067799971591,-0.03619409823826103,0.007163232884433083,False,clause,,,2024-11-01
,att_all,,,,,ranking,True,,2024-11-01
,att_type1,,,,,ranking,True,,2024-11-01
,adm_via_ae,,,,,ranking,True,,2024-11-01
,,,,,,verdict,,confirmed,2024-11-01
b0,att_all,-0.00020803052438633785,-0.00046297484525465214,-1.3491407679245012e-05,False,clause,,,2024-12-01
b0,att_type1,-7.240302998146042e-06,-2.9187232478359954e-05,4.980507674875249e-06,False,clause,,,2024-12-01
b0,adm_via_ae,-0.001719334485149715,-0.005733447679424085,3.644899314208087e-05,False,clause,,,2024-12-01
b1,att_all,-0.00028998988186013097,-0.0008594195954414079,7.6748508126253e-05,False,clause,,,2024-12-01
b1,att_type1,3.729153944576069e-05,-9.995290692706478e-06,0.00012811067964022752,False,clause,,,2024-12-01
b1,adm_via_ae,-0.002581121041686618,-0.009039149689256199,3.3776949753995966e-06,False,clause,,,2024-12-01
b2,att_all,0.000242364784488025,-0.00044850484295664656,0.0010557099344781528,False,clause,,,2024-12-01
b2,att_type1,0.00017285261179478262,0.0,0.00045498169410893306,False,clause,,,2024-12-01
b2,adm_via_ae,-0.0033207664384462543,-0.011522730611299346,2.184567119403284e-05,False,clause,,,2024-12-01
m1,att_all,-0.0002842230738252516,-0.0012852187213434636,0.0006096712693417686,False,clause,,,2024-12-01
m1,att_type1,3.966492227558405e-05,-2.1373751446513104e-05,8.881690483408193e-05,False,clause,,,2024-12-01
m1,adm_via_ae,-0.004474330317999375,-0.010718118707770414,0.004280239882901047,False,clause,,,2024-12-01
m1_v3_raw,att_all,0.001199390716541071,-0.009039626941468919,0.011222645199588726,False,clause,,,2024-12-01
m1_v3_raw,att_type1,0.002513505677529393,-0.00882980007011018,0.017012269022282773,False,clause,,,2024-12-01
m1_v3_raw,adm_via_ae,-0.0203978407305494,-0.04423056181013153,0.00044831072052051505,False,clause,,,2024-12-01
,att_all,,,,,ranking,True,,2024-12-01
,att_type1,,,,,ranking,True,,2024-12-01
,adm_via_ae,,,,,ranking,True,,2024-12-01
,,,,,,verdict,,confirmed,2024-12-01
b0,att_all,-0.00020167639033696894,-0.0004843475983709343,-2.0400332339405624e-05,False,clause,,,2025-01-01
b0,att_type1,-7.343505249779447e-06,-3.1377211463346557e-05,4.9443175318693484e-06,False,clause,,,2025-01-01
b0,adm_via_ae,-0.00191116798549551,-0.0061656859559163875,3.1788094102844176e-06,False,clause,,,2025-01-01
b1,att_all,-0.00014927726243529893,-0.0006280674537616585,0.00010107690064952622,False,clause,,,2025-01-01
b1,att_type1,-4.662074776395908e-05,-0.00014579013570451186,2.9173658775301202e-06,False,clause,,,2025-01-01
b1,adm_via_ae,-0.0030373697928011145,-0.009563619412120493,3.3739418417730565e-06,False,clause,,,2025-01-01
b2,att_all,-6.620475618102084e-05,-0.0006228630415500115,0.0004676197206774799,False,clause,,,2025-01-01
b2,att_type1,0.00018148192988975964,0.0,0.0004749749981751059,False,clause,,,2025-01-01
b2,adm_via_ae,-0.0033450270752456435,-0.011465396698839574,2.2223705738336003e-05,False,clause,,,2025-01-01
m1,att_all,-0.0007306552439619862,-0.0015259538314497108,-0.0002487707049013182,False,clause,,,2025-01-01
m1,att_type1,5.521283755283157e-05,-1.1498125317831715e-05,0.00010518709028582957,False,clause,,,2025-01-01
m1,adm_via_ae,-0.004397319087882212,-0.01058363842625639,0.0033059302258741817,False,clause,,,2025-01-01
m1_v3_raw,att_all,0.00112844139423518,-0.00837536402612701,0.01111241488334151,False,clause,,,2025-01-01
m1_v3_raw,att_type1,0.005889629171058841,-0.005866415466619912,0.02043701277112939,False,clause,,,2025-01-01
