split,origin_set,n_origins,mode,months,g1,model,level,gap_label,coh_gap_mean,coh_gap_max,coh_gap_n,coh_gap_excluded_failed,coh_gap_excluded_nonpositive,wis_rel_m1,wis_att_all,wis_att_type1,wis_adm_via_ae,cov90,cov50,cov90_h1,cov90_h2,cov90_h3,cov90_h4,cov90_h5,cov90_h6,cov90_out,cov50_out,cov90_in,cov50_in,n,cov50_h1,cov50_h2,cov50_h3,cov50_h4,cov50_h5,cov50_h6
conf,CONF21,21,asof,all,failed_dropped,ETS + pooled,region,coherence gap,0.0029417927248207433,0.04927526008466087,2646,0,0,0.11400780396507693,7711.826529601069,3707.737337699768,876.9297100530956,0.9157218442932729,0.5578231292517006,0.8798185941043084,0.8956916099773242,0.9002267573696145,0.9183673469387755,0.9455782312925171,0.9546485260770975,0.9157218442932729,0.5578231292517006,,,2646,0.47845804988662133,0.5510204081632653,0.5895691609977324,0.5963718820861678,0.5668934240362812,0.564625850340136
conf,CONF21,21,asof,all,failed_dropped,ETS + pooled + MinT,region,coherence gap,2.614934793411585e-06,0.0007426142269670747,2646,0,0,0.031162229275670583,7442.90925502697,2828.3294545540016,944.657912592536,0.9792139077853363,0.6878306878306878,0.9682539682539683,0.9546485260770975,0.9841269841269841,0.981859410430839,0.9886621315192744,0.9977324263038548,0.9792139077853363,0.6878306878306878,,,2646,0.5419501133786848,0.6258503401360545,0.6961451247165533,0.7278911564625851,0.7437641723356009,0.7913832199546486
conf,CONF21,21,asof,all,failed_dropped,M1 + pooled,region,coherence gap,0.012078691966877666,0.06497365398323911,2646,0,0,0.0,6640.273107486712,2884.8658600908743,946.7923293814215,0.9145880574452003,0.618291761148904,0.8956916099773242,0.927437641723356,0.9183673469387755,0.9115646258503401,0.9070294784580499,0.927437641723356,0.9145880574452003,0.618291761148904,,,2646,0.5306122448979592,0.5963718820861678,0.63718820861678,0.6394557823129252,0.6530612244897959,0.6530612244897959
conf,CONF21,21,asof,all,failed_dropped,M1 + pooled + MinT,region,coherence gap,0.00039428549725013204,0.017001152706995402,2646,0,0,0.14397038554538555,6291.176702558298,3757.9610539881414,1148.4880581671146,0.9659863945578231,0.6266061980347695,0.9546485260770975,0.9546485260770975,0.9727891156462585,0.963718820861678,0.9863945578231292,0.963718820861678,0.9659863945578231,0.6266061980347695,,,2646,0.5306122448979592,0.5827664399092971,0.6462585034013606,0.6281179138321995,0.7142857142857143,0.6575963718820862
conf,CONF21,21,asof,all,failed_dropped,M2 frozen (m2d_corr),region,median non-additivity,0.0020350076456276487,0.008106712804699382,2646,0,0,0.4426171833237047,8586.250603174607,4544.419849206349,1395.5249047619047,0.9867724867724867,0.7290249433106576,0.9319727891156463,1.0,0.9954648526077098,1.0,0.9931972789115646,1.0,0.9867724867724867,0.7290249433106576,,,2646,0.4557823129251701,0.691609977324263,0.7414965986394558,0.780045351473923,0.8253968253968254,0.8798185941043084
