split,origin_set,n_origins,level,mode,g1,stat,months,oyear,horizon,point_raw,lo_raw,hi_raw,lo_within_raw,hi_within_raw,n_rows_raw,n_series_raw,n_units_raw,zero_den_raw,degenerate_raw,point_pooled,lo_pooled,hi_pooled,lo_within_pooled,hi_within_pooled,n_rows_pooled,n_series_pooled,n_units_pooled,zero_den_pooled,degenerate_pooled,point_diff,lo_diff,hi_diff,lo_within_diff,hi_within_diff,zero_den_diff,degenerate_diff,raw_gap_point_pp,raw_gap_lo_pp,raw_gap_hi_pp,pooled_gap_point_pp,pooled_gap_lo_pp,pooled_gap_hi_pp,diff_point_pp,diff_lo_pp,diff_hi_pp,model
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,1,0.9534971644612477,0.9428053906698608,0.9668063759303162,0.9468227826449909,0.9600540449151644,5290,192,12,1,False,0.9109640831758034,0.8938211128555514,0.9310704019196262,0.899468569502928,0.9231057005626107,5290,192,12,1,False,-0.04253308128544431,-0.05974354714576309,-0.029048567536615,-0.05173545019239676,-0.03350888700016699,1,False,5.349716446124764,4.280539066986078,6.680637593031613,1.096408317580333,-0.6178887144448586,3.107040191962618,-4.253308128544431,-5.974354714576309,-2.9048567536615,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,2,0.9511548655812192,0.9406696245422637,0.962874165073292,0.9437207741860051,0.9590533860378111,5282,191,12,1,False,0.8915183642559636,0.8688233024691357,0.9131390619192278,0.8784793846575958,0.9061740361741495,5282,191,12,1,False,-0.05963650132525555,-0.08156362583764697,-0.038037575767717706,-0.07086440671347541,-0.048436703778040865,1,False,5.115486558121917,4.066962454226363,6.287416507329202,-0.8481635744036375,-3.1176697530864272,1.3139061919227757,-5.963650132525555,-8.156362583764697,-3.8037575767717704,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,3,0.9516679302501896,0.9420843606529249,0.9673828664129563,0.943452753240184,0.9598499571413871,5276,188,12,1,False,0.8887414708112206,0.8689463549818376,0.9195176054786216,0.8725688382432502,0.905527856152517,5276,188,12,1,False,-0.06292645943896902,-0.0844538050971919,-0.03830189417164961,-0.07480566882570805,-0.05029634059286899,1,False,5.166793025018956,4.208436065292487,6.738286641295632,-1.1258529188779454,-3.1053645018162435,1.951760547862158,-6.292645943896902,-8.44538050971919,-3.8301894171649606,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,4,0.9580804248861912,0.9487518516652391,0.9704959447674363,0.9496441975005923,0.9669948633652122,5272,188,12,1,False,0.9004172989377845,0.8793131710764277,0.9294093530859332,0.8850758482210395,0.9164770791624849,5272,188,12,1,False,-0.05766312594840661,-0.07817752831299364,-0.03423858816127719,-0.06959822574446793,-0.04645814904474677,1,False,5.8080424886191135,4.875185166523909,7.049594476743626,0.04172989377845271,-2.068682892357232,2.9409353085933176,-5.766312594840661,-7.817752831299364,-3.4238588161277193,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,5,0.9669703872437357,0.9553067053607431,0.9785761647071378,0.957985877266649,0.9761696487048267,5268,188,12,1,False,0.9210326499620349,0.9017939873658459,0.9420540064589794,0.9063027023149139,0.9356180447266179,5268,188,12,1,False,-0.04593773728170081,-0.06066765480736897,-0.030608304092686306,-0.05813404299297239,-0.035177311647672745,1,False,6.697038724373572,5.530670536074311,7.857616470713779,2.103264996203491,0.1793987365845906,4.205400645897939,-4.593773728170081,-6.066765480736898,-3.0608304092686307,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,6,0.9694090822724681,0.9571160562854537,0.9808403702741487,0.9588021607759526,0.9789954693518377,5263,188,12,1,False,0.9420482614478435,0.9257311886180959,0.9558969729549373,0.9298278320083191,0.953530625190817,5263,188,12,1,False,-0.027360820824624654,-0.04116591622516534,-0.0169942501200792,-0.0357351656315376,-0.02029382399689366,1,False,6.940908227246812,5.711605628545369,8.084037027414869,4.204826144784346,2.573118861809587,5.589697295493723,-2.7360820824624654,-4.116591622516534,-1.69942501200792,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,1,0.9468911917098446,0.9288848633940885,0.9628821945762546,0.9351921708872372,0.957837782528708,3088,189,7,26,False,0.8915155440414507,0.8503681053393646,0.917537996455749,0.8755741563881436,0.907876131147541,3088,189,7,26,False,-0.05537564766839387,-0.08940289998016926,-0.037369708416752453,-0.06748025170705586,-0.043391362455007965,26,False,4.689119170984457,2.8884863394088467,6.288219457625455,-0.8484455958549297,-4.963189466063545,1.7537996455748939,-5.537564766839386,-8.940289998016926,-3.7369708416752454,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,2,0.9491415613864593,0.9274659043945447,0.9638080608586115,0.9371584823587987,0.9599344539010761,3087,189,7,26,False,0.9086491739552964,0.8717142197479321,0.933434798947764,0.8920078910053206,0.9257421699050552,3087,189,7,26,False,-0.0404923874311629,-0.0626380844133525,-0.02545323548051712,-0.052006595602572474,-0.030023201307869996,26,False,4.9141561386459305,2.746590439454466,6.3808060858611455,0.8649173955296408,-2.828578025206796,3.343479894776402,-4.04923874311629,-6.26380844133525,-2.5453235480517122,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,3,0.9591704471808166,0.9439521515154786,0.9721605853022042,0.9470701499330528,0.9709650144412486,3086,188,7,26,False,0.9303305249513933,0.903866187804777,0.9486645219898823,0.9137179985292988,0.9456665299425758,3086,188,7,26,False,-0.02883992222942322,-0.04741895525176146,-0.016634152215799603,-0.03950159360726992,-0.019916808720419496,26,False,5.917044718081654,4.39521515154786,7.216058530220415,3.0330524951393323,0.3866187804776988,4.866452198988225,-2.883992222942322,-4.741895525176146,-1.6634152215799602,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,4,0.9659312134977287,0.9505059755099515,0.979453015610959,0.9535021262222632,0.9772514967491185,3082,188,7,26,False,0.9338092147955873,0.9142458253154565,0.9558082614464259,0.9167244530528565,0.9496639782780938,3082,188,7,26,False,-0.032121998702141386,-0.04395748567039691,-0.016663947332223157,-0.043450810365067545,-0.023173707661852328,26,False,6.5931213497728685,5.050597550995151,7.945301561095897,3.3809214795587295,1.4245825315456484,5.580826144642592,-3.2121998702141386,-4.395748567039691,-1.6663947332223157,b1_ets
