split,origin_set,n_origins,mode,g1,months,horizons,metric,base,level,n_series,rel,rel_lo,rel_hi,rel_att_all,rel_att_type1,rel_adm_via_ae,rel_outside_covid,icb_improves,provider_within_2pct,H3,n_pairs,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,note
conf,W5,5,asof,as_issued,winter,3,wis,ETS,region,7,-0.0878784629441457,-0.16792728972852797,-0.016261334115212942,-0.034870762917434184,-0.23718181819517437,0.07723333097625296,-0.0878784629441457,True,True,holds,105,105,105,0,0,True,caution: bootstrap over 7 series
conf,W5,5,asof,as_issued,winter,3,wis,STL+ARIMA,region,7,0.11609302654253062,0.030176716840312694,0.20745722782006007,0.06941485992965846,0.13177796616114468,0.45935048397820055,0.11609302654253062,False,False,fails,105,105,105,0,0,True,caution: bootstrap over 7 series
conf,W5,5,asof,as_issued,winter,3,wis,M1,region,7,0.06929901440102859,-0.04543369067135465,0.17115656146872962,-0.05257259743350284,0.3026467212828272,0.21303059026414917,0.06929901440102859,False,False,fails,105,105,105,0,0,True,caution: bootstrap over 7 series
