split,origin_set,origin,target,last_period,E_o,window_start,truncated,n_both,n_late,n_withdrawn,V,L,Wd,sum_asof,sum_final,lost_originals_n,lost_originals_final,late_larger
conf,CONF21,2024-11-01,adm_via_ae,2024-10-01,2024-10-01,2023-11-01,False,2381,1,0,0.0,0.0,0.0,4893944.0,4893944.0,0,0.0,False
conf,CONF21,2024-12-01,att_all,2024-11-01,2024-11-01,2023-12-01,False,2375,2,0,405.0,7122.0,0.0,26332208.0,26339735.0,0,0.0,True
conf,CONF21,2024-12-01,att_type1,2024-11-01,2024-11-01,2023-12-01,False,2375,2,0,65.0,0.0,0.0,16477517.0,16477582.0,0,0.0,False
conf,CONF21,2024-12-01,adm_via_ae,2024-11-01,2024-11-01,2023-12-01,False,2375,2,0,-215.0,0.0,0.0,4905742.0,4905527.0,0,0.0,False
conf,CONF21,2025-01-01,att_all,2024-12-01,2024-12-01,2024-01-01,False,2371,2,0,405.0,7122.0,0.0,26480702.0,26488229.0,0,0.0,True
conf,CONF21,2025-01-01,att_type1,2024-12-01,2024-12-01,2024-01-01,False,2371,2,0,65.0,0.0,0.0,16529265.0,16529330.0,0,0.0,False
conf,CONF21,2025-01-01,adm_via_ae,2024-12-01,2024-12-01,2024-01-01,False,2371,2,0,-215.0,0.0,0.0,4910485.0,4910270.0,0,0.0,False
conf,CONF21,2025-02-01,att_all,2025-01-01,2025-01-01,2024-02-01,False,2370,2,0,405.0,7122.0,0.0,26460802.0,26468329.0,0,0.0,True
conf,CONF21,2025-02-01,att_type1,2025-01-01,2025-01-01,2024-02-01,False,2370,2,0,65.0,0.0,0.0,16486962.0,16487027.0,0,0.0,False
conf,CONF21,2025-02-01,adm_via_ae,2025-01-01,2025-01-01,2024-02-01,False,2370,2,0,-215.0,0.0,0.0,4907545.0,4907330.0,0,0.0,False
conf,CONF21,2025-03-01,att_all,2025-02-01,2025-02-01,2024-03-01,False,2369,2,0,6598.0,7122.0,0.0,26379499.0,26393219.0,0,0.0,True
conf,CONF21,2025-03-01,att_type1,2025-02-01,2025-02-01,2024-03-01,False,2369,2,0,65.0,0.0,0.0,16409553.0,16409618.0,0,0.0,False
conf,CONF21,2025-03-01,adm_via_ae,2025-02-01,2025-02-01,2024-03-01,False,2369,2,0,-215.0,0.0,0.0,4887295.0,4887080.0,0,0.0,False
conf,CONF21,2025-04-01,att_all,2025-03-01,2025-03-01,2024-04-01,False,2370,2,0,6598.0,7122.0,0.0,26389456.0,26403176.0,0,0.0,True
conf,CONF21,2025-04-01,att_type1,2025-03-01,2025-03-01,2024-04-01,False,2370,2,0,65.0,0.0,0.0,16396109.0,16396174.0,0,0.0,False
conf,CONF21,2025-04-01,adm_via_ae,2025-03-01,2025-03-01,2024-04-01,False,2370,2,0,-215.0,0.0,0.0,4871430.0,4871215.0,0,0.0,False
conf,CONF21,2025-05-01,att_all,2025-04-01,2025-04-01,2024-05-01,False,2371,2,0,8113.0,7122.0,0.0,26434479.0,26449714.0,0,0.0,False
conf,CONF21,2025-05-01,att_type1,2025-04-01,2025-04-01,2024-05-01,False,2371,2,0,379.0,0.0,0.0,16409695.0,16410074.0,0,0.0,False
conf,CONF21,2025-05-01,adm_via_ae,2025-04-01,2025-04-01,2024-05-01,False,2371,2,0,-833.0,0.0,0.0,4864406.0,4863573.0,0,0.0,False
conf,CONF21,2025-06-01,att_all,2025-05-01,2025-05-01,2024-06-01,False,2376,0,0,3158.0,0.0,0.0,26424844.0,26428002.0,0,0.0,False
conf,CONF21,2025-06-01,att_type1,2025-05-01,2025-05-01,2024-06-01,False,2376,0,0,758.0,0.0,0.0,16389444.0,16390202.0,0,0.0,False
conf,CONF21,2025-06-01,adm_via_ae,2025-05-01,2025-05-01,2024-06-01,False,2376,0,0,-1069.0,0.0,0.0,4853964.0,4852895.0,0,0.0,False
conf,CONF21,2025-07-01,att_all,2025-06-01,2025-06-01,2024-07-01,False,2380,0,0,4256.0,0.0,0.0,26476272.0,26480528.0,0,0.0,False
conf,CONF21,2025-07-01,att_type1,2025-06-01,2025-06-01,2024-07-01,False,2380,0,0,758.0,0.0,0.0,16409857.0,16410615.0,0,0.0,False
conf,CONF21,2025-07-01,adm_via_ae,2025-06-01,2025-06-01,2024-07-01,False,2380,0,0,-1632.0,0.0,0.0,4854352.0,4852720.0,0,0.0,False
conf,CONF21,2025-08-01,att_all,2025-07-01,2025-06-01,2024-07-01,True,2380,0,0,4256.0,0.0,0.0,26476272.0,26480528.0,201,2320374.0,False
conf,CONF21,2025-08-01,att_type1,2025-07-01,2025-06-01,2024-07-01,True,2380,0,0,758.0,0.0,0.0,16409857.0,16410615.0,201,1433180.0,False
conf,CONF21,2025-08-01,adm_via_ae,2025-07-01,2025-06-01,2024-07-01,True,2380,0,0,-1632.0,0.0,0.0,4854352.0,4852720.0,201,419451.0,False
conf,CONF21,2025-09-01,att_all,2025-08-01,2025-06-01,2024-07-01,True,2380,0,0,4256.0,0.0,0.0,26476272.0,26480528.0,402,4503097.0,False
conf,CONF21,2025-09-01,att_type1,2025-08-01,2025-06-01,2024-07-01,True,2380,0,0,758.0,0.0,0.0,16409857.0,16410615.0,402,2784811.0,False
conf,CONF21,2025-09-01,adm_via_ae,2025-08-01,2025-06-01,2024-07-01,True,2380,0,0,-1632.0,0.0,0.0,4854352.0,4852720.0,402,820371.0,False
