split,origin_set,n_origins,mode,months,g1,model,level,gap_label,coh_gap_mean,coh_gap_max,coh_gap_n,coh_gap_excluded_failed,coh_gap_excluded_nonpositive,wis_rel_m1,wis_att_all,wis_att_type1,wis_adm_via_ae,cov90,cov50,cov90_h1,cov90_h2,cov90_h3,cov90_h4,cov90_h5,cov90_h6,cov90_out,cov50_out,cov90_in,cov50_in,n,cov50_h1,cov50_h2,cov50_h3,cov50_h4,cov50_h5,cov50_h6
conf,CONF21,21,asof,all,failed_dropped,ETS + pooled,icb,coherence gap,0.019450363952138765,0.47762091817459473,13608,0,0,-0.03214659943377851,1588.1991463072563,876.0857947066827,233.44554938788207,0.908289241622575,0.5302763080540859,0.8919753086419753,0.892416225749559,0.8990299823633157,0.9016754850088183,0.9223985890652557,0.9422398589065256,0.908289241622575,0.5302763080540859,,,13608,0.4933862433862434,0.5264550264550265,0.5551146384479718,0.5577601410934744,0.5317460317460317,0.5171957671957672
conf,CONF21,21,asof,all,failed_dropped,ETS + pooled + MinT,icb,coherence gap,0.010687406819921417,0.437927628381417,13608,0,0,-0.08679580613400961,1540.1963584054681,759.9271716309709,233.11170503172278,0.9126984126984127,0.5667989417989417,0.8800705467372134,0.8853615520282186,0.9232804232804233,0.9215167548500882,0.9250440917107584,0.9409171075837742,0.9126984126984127,0.5667989417989417,,,13608,0.4713403880070547,0.5211640211640212,0.5895061728395061,0.5934744268077602,0.6067019400352733,0.6186067019400353
conf,CONF21,21,asof,all,failed_dropped,M1 + pooled,icb,coherence gap,0.012912484821881412,0.2628712199125125,13608,0,0,0.0,1548.5166143316371,869.1519198765528,266.1931596711805,0.9123309817754263,0.5789241622574955,0.9096119929453262,0.9144620811287478,0.9038800705467372,0.9034391534391535,0.9140211640211641,0.9285714285714286,0.9123309817754263,0.5789241622574955,,,13608,0.5198412698412699,0.5365961199294532,0.5745149911816578,0.591710758377425,0.6067019400352733,0.6441798941798942
conf,CONF21,21,asof,all,failed_dropped,M1 + pooled + MinT,icb,coherence gap,0.0027893750393094543,0.18077061882256842,13608,0,0,0.026541198878016647,1367.87524290771,982.2935694026767,288.43623354780044,0.8799970605526161,0.4567901234567901,0.890652557319224,0.8672839506172839,0.876984126984127,0.8686067019400353,0.894620811287478,0.8818342151675485,0.8799970605526161,0.4567901234567901,,,13608,0.4149029982363316,0.40299823633156967,0.4470899470899471,0.4572310405643739,0.5357142857142857,0.4828042328042328
conf,CONF21,21,asof,all,failed_dropped,M2 frozen (m2d_corr),icb,median non-additivity,,,0,0,0,0.23967821722415983,1868.675702160494,1082.0747800925926,337.55469367283956,0.9885361552028219,0.7498530276308054,0.972663139329806,0.9933862433862434,0.9898589065255732,0.9929453262786596,0.9902998236331569,0.9920634920634921,0.9885361552028219,0.7498530276308054,,,13608,0.5784832451499118,0.7407407407407407,0.7376543209876543,0.7857142857142857,0.8148148148148148,0.841710758377425
