split,origin_set,n_origins,level,mode,g1,stat,months,horizon,point_raw,lo_raw,hi_raw,lo_within_raw,hi_within_raw,n_rows_raw,n_series_raw,n_units_raw,zero_den_raw,degenerate_raw,point_pooled,lo_pooled,hi_pooled,lo_within_pooled,hi_within_pooled,n_rows_pooled,n_series_pooled,n_units_pooled,zero_den_pooled,degenerate_pooled,point_diff,lo_diff,hi_diff,lo_within_diff,hi_within_diff,zero_den_diff,degenerate_diff,raw_gap_point_pp,raw_gap_lo_pp,raw_gap_hi_pp,pooled_gap_point_pp,pooled_gap_lo_pp,pooled_gap_hi_pp,diff_point_pp,diff_lo_pp,diff_hi_pp,model
conf,CONF19,19,provider,asof,as_issued,cov90,all,1,0.9510623060396276,0.94185111501362,0.9612218145871451,0.94434184988771,0.9573301738825104,8378,193,19,0,False,0.9037956552876582,0.8808826390078889,0.9199323465424817,0.8926270162351635,0.9156077574770242,8378,193,19,0,False,-0.04726665075196945,-0.06550018335008408,-0.03595430379748628,-0.05707987138896177,-0.0382506702645357,0,False,5.106230603962758,4.185111501361993,6.122181458714504,0.37956552876581284,-1.9117360992111143,1.993234654248166,-4.726665075196945,-6.550018335008407,-3.595430379748628,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,2,0.9504122356314972,0.9403054384751759,0.9599952540777782,0.9429746616966586,0.9576655335175054,8369,192,19,0,False,0.8978372565420002,0.8760348086167383,0.9161993308590856,0.8849880060973849,0.9113582443455592,8369,192,19,0,False,-0.05257497908949704,-0.0716855373177195,-0.03679044597527735,-0.06359887401846599,-0.042562575121404475,0,False,5.041223563149721,4.0305438475175865,5.999525407777817,-0.21627434579998273,-2.3965191383261697,1.6199330859085537,-5.257497908949704,-7.16855373177195,-3.679044597527735,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,3,0.9544367376225783,0.9459316789830815,0.9664346077613053,0.946772213935929,0.962096523965652,8362,190,19,0,False,0.9040899306386032,0.8798362743447324,0.928989462380536,0.8901477804702292,0.9181643957948346,8362,190,19,0,False,-0.05034680698397509,-0.07133388182217114,-0.03173682466140291,-0.06104747432480441,-0.04027510437108004,0,False,5.443673762257828,4.593167898308148,6.643460776130528,0.408993063860319,-2.0163725655267584,2.8989462380536013,-5.0346806983975085,-7.1333881822171135,-3.1736824661402907,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,4,0.9609767775915729,0.9514521006099571,0.9713183628815779,0.953242483069581,0.9688233386683053,8354,190,19,0,False,0.9127364136940388,0.8913401811817065,0.9360994591628768,0.8996023128398858,0.9263132934210597,8354,190,19,0,False,-0.048240363897534055,-0.067309842543806,-0.0297897580847589,-0.0589690244958339,-0.038819564347895893,0,False,6.097677759157283,5.1452100609957085,7.131836288157789,1.2736413694038773,-0.8659818818293474,3.6099459162876824,-4.824036389753406,-6.7309842543805996,-2.97897580847589,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,5,0.9665708123652049,0.9566713634496918,0.9767194246362944,0.9582388944880927,0.9743245591912087,8346,190,19,0,False,0.9223580158159598,0.9065408964140039,0.9414814509636473,0.9087449660570465,0.9353682400379507,8346,190,19,0,False,-0.04421279654924515,-0.057278021004949595,-0.029883555421834268,-0.05562658676057558,-0.03451126453024114,0,False,6.65708123652049,5.667136344969181,7.671942463629433,2.2358015815959753,0.6540896414003905,4.148145096364731,-4.421279654924515,-5.7278021004949595,-2.988355542183427,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,6,0.9682177980331015,0.9579114913438144,0.9776798829841955,0.9596358770613237,0.9763017442501788,8338,190,19,0,False,0.9346366035020388,0.9198993019394517,0.9505055060554818,0.9221605267538892,0.9470479476284498,8338,190,19,0,False,-0.033581194531062675,-0.04624757574393595,-0.020912065881678286,-0.04358281684895032,-0.02520350243661089,0,False,6.821779803310147,5.791149134381435,7.767988298419548,3.4636603502038787,1.9899301939451663,5.050550605548176,-3.3581194531062675,-4.624757574393595,-2.091206588167829,b1_ets
conf,CONF19,19,provider,asof,as_issued,cov90,all,1,0.8920983528288374,0.8566227936056575,0.9272036787286733,0.8816349988714728,0.9030998294923691,8378,193,19,0,False,0.9000954881833373,0.8712665118515612,0.9313878210611671,0.8898374718981573,0.9107622513731136,8378,193,19,0,False,0.007997135354499862,0.0019074879385867882,0.014663416586007573,0.0061746034546072024,0.009870805786462258,0,False,-0.7901647171162596,-4.3377206394342505,2.720367872867324,0.009548818333726672,-2.873348814843879,3.138782106116711,0.7997135354499862,0.19074879385867882,1.4663416586007572,b2_stl_arima
conf,CONF19,19,provider,asof,as_issued,cov90,all,2,0.9295017325845382,0.9104036684442963,0.9520016847125924,0.9198509538750987,0.9390682505380894,8369,192,19,0,False,0.9289042896403393,0.9103701847988943,0.9515115946169731,0.9193493730230351,0.9383160437862882,8369,192,19,0,False,-0.0005974429441988338,-0.0013985215777487514,0.0,-0.0011183180766149714,-0.00012154766997851396,0,False,2.9501732584538143,1.04036684442963,5.200168471259237,2.890428964033931,1.0370184798894289,5.151159461697308,-0.05974429441988338,-0.13985215777487514,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,as_issued,cov90,all,3,0.9439129394881607,0.9310190013433908,0.9589465930568135,0.9348473279836688,0.9529443285074561,8362,190,19,0,False,0.9419995216455394,0.9301700902966535,0.9567502453065267,0.9328340389781363,0.9510849487979848,8362,190,19,0,False,-0.0019134178426213344,-0.004966717043759852,0.0,-0.003636936610179203,-0.00036779420013828844,0,False,4.391293948816067,3.101900134339075,5.894659305681349,4.199952164553933,3.017009029665352,5.6750245306526725,-0.19134178426213344,-0.49667170437598523,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,as_issued,cov90,all,4,0.9498443859229112,0.9385378619390695,0.9617155745893052,0.9409157594516543,0.9591948611779816,8354,190,19,0,False,0.9470912137898013,0.9364967385205689,0.9598075762726904,0.9376913891464825,0.956396485268608,8354,190,19,0,False,-0.0027531721331098824,-0.0074032997041062025,0.0,-0.004811988088673646,-0.0012402262892004664,0,False,4.984438592291118,3.8537861939069495,6.171557458930521,4.7091213789801305,3.6496738520568894,5.98075762726904,-0.27531721331098824,-0.7403299704106202,0.0,b2_stl_arima
