split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,1,0.9766081871345029,0.9629629629629629,0.9873294346978557,0.9673489278752436,0.9848927875243665,-0.00036695906432759884,2052,36,19,0,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2,0.9741715399610137,0.9551656920077972,0.9873294346978557,0.9634502923976608,0.9829556530214425,-0.0002485380116961089,2052,36,19,0,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,3,0.9775828460038987,0.9576023391812866,0.9917153996101364,0.9649000974658869,0.9878167641325536,2.5828460038734846e-05,2052,36,19,0,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,4,0.9775828460038987,0.9556530214424951,0.9941520467836257,0.9629629629629629,0.9883040935672515,0.0012383040935670664,2052,36,19,0,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,5,0.9814814814814815,0.9639376218323586,0.9951267056530214,0.9692982456140351,0.9912280701754386,0.0009615009746586356,2052,36,19,0,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,6,0.9824561403508771,0.967824074074074,0.9956140350877193,0.9712475633528265,0.9917153996101364,0.0006656920077970918,2052,36,19,0,0,False
