split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,1,0.8463802236609771,0.8084965634360048,0.8879388894437648,0.8319546929314448,0.8616036877100223,0.0088014399727675,8495,197,19,0,0,False
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,2,0.8463170300530347,0.818686802321634,0.8783301234312353,0.8304708979220388,0.8643545863916611,0.0054663228241055295,8485,196,19,0,0,False
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,3,0.8428689394833078,0.8172242205749323,0.8714583879588045,0.8250142662840514,0.8621517710668813,0.002811014863792871,8477,194,19,0,0,False
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,4,0.8326246161115048,0.8100637861497122,0.8611381604561367,0.8133119081532713,0.8530441381612157,0.002750454031975047,8466,194,19,0,0,False
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,5,0.8194181646168401,0.7958854654594513,0.8520689093772067,0.7993146214284779,0.8410392244965085,0.005031822306378442,8456,194,19,0,0,False
conf,CONF19,19,m1_lightgbm,provider,asof,cov90,all,as_issued,6,0.8141131896755861,0.7883647099429119,0.8428633212743984,0.7924588325132444,0.8364751337827641,0.0018766015618854048,8446,194,19,0,0,False
