split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,1,0.8501437852806476,0.809735072590856,0.8892755399033905,0.8354581936814939,0.8660593774092206,0.005967236485629024,9389,197,19,0,0,False
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,2,0.8492376585989978,0.8199404313038069,0.8798799770553247,0.8334694115772554,0.8666075644414383,0.0033743270266216596,9379,196,19,0,0,False
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,3,0.846547860420446,0.8176864439554199,0.8728323199101315,0.8289830028401368,0.8654329422196968,0.00024886453348416104,9371,194,19,0,0,False
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,4,0.8307313943541489,0.8094235574406581,0.8596342066817143,0.8120886660783327,0.8503136154652092,0.0038315960881065703,9352,194,19,0,0,False
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,5,0.8189895097409549,0.79599970096033,0.8517785518055098,0.7992981126352349,0.8397160338072327,0.005091632135353685,9342,194,19,0,0,False
conf,CONF21,21,m1_lightgbm,provider,asof,cov90,all,as_issued,6,0.8152593227603944,0.789000177728684,0.8428633212743984,0.7938138130352742,0.8364348539160072,0.001043244489187578,9332,194,19,0,0,False
